BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
200801,4,2100,200801,5,600,11845,64947,NEVADA,32,2008,January,Winter Storm
200801,4,2100,200801,5,600,11845,64948,NEVADA,32,2008,January,Winter Storm
200801,4,2200,200801,5,800,11845,64949,NEVADA,32,2008,January,Winter Storm
200801,6,1800,200801,7,2100,11920,65381,NEW MEXICO,35,2008,January,Winter Storm
200801,6,0,200801,7,2100,11920,65383,NEW MEXICO,35,2008,January,Winter Storm
200801,7,600,200801,8,2100,11920,65384,NEW MEXICO,35,2008,January,Winter Storm
200801,7,1000,200801,8,2100,11920,65386,NEW MEXICO,35,2008,January,Winter Storm
200801,7,1100,200801,8,2100,11920,65387,NEW MEXICO,35,2008,January,Winter Storm
200801,7,1000,200801,8,2100,11920,65388,NEW MEXICO,35,2008,January,Winter Storm
200801,4,1100,200801,5,1200,11988,65670,WYOMING,56,2008,January,Winter Storm
200801,4,1700,200801,5,2000,11988,65671,WYOMING,56,2008,January,Winter Storm
200801,4,1800,200801,5,1400,11988,65672,WYOMING,56,2008,January,Winter Storm
200801,4,1700,200801,5,1800,11988,65673,WYOMING,56,2008,January,Winter Storm
200801,4,1800,200801,5,1600,11988,65674,WYOMING,56,2008,January,Winter Storm
200801,4,1800,200801,5,1300,11988,65675,WYOMING,56,2008,January,Winter Storm
200801,4,1600,200801,5,1800,11988,65676,WYOMING,56,2008,January,Winter Storm
200801,4,1700,200801,5,1900,11988,65677,WYOMING,56,2008,January,Winter Storm
200801,14,2300,200801,15,1100,12112,66211,IDAHO,16,2008,January,Winter Storm
200801,14,2330,200801,15,1700,12113,66212,MONTANA,30,2008,January,Winter Storm
200801,14,2200,200801,15,1100,12113,66213,MONTANA,30,2008,January,Winter Storm
200801,16,2230,200801,17,400,12117,66243,SOUTH CAROLINA,45,2008,January,Winter Storm
200801,16,2200,200801,17,400,12117,66246,SOUTH CAROLINA,45,2008,January,Winter Storm
200801,17,400,200801,18,1000,12205,67011,WYOMING,56,2008,January,Winter Storm
200801,17,400,200801,18,1000,12205,67012,WYOMING,56,2008,January,Winter Storm
200801,17,500,200801,18,1400,12205,67013,WYOMING,56,2008,January,Winter Storm
200801,19,300,200801,20,1900,12207,67020,WYOMING,56,2008,January,Winter Storm
200801,27,1000,200801,28,1100,12243,67302,WYOMING,56,2008,January,Winter Storm
200801,27,1000,200801,28,1200,12243,67303,WYOMING,56,2008,January,Winter Storm
200801,27,1100,200801,28,1200,12243,67304,WYOMING,56,2008,January,Winter Storm
200801,27,1100,200801,28,1300,12243,67306,WYOMING,56,2008,January,Winter Storm
200801,27,1200,200801,28,1430,12243,67307,WYOMING,56,2008,January,Winter Storm
200801,27,1200,200801,28,1600,12243,67310,WYOMING,56,2008,January,Winter Storm
200801,27,400,200801,28,1600,12251,67370,NEVADA,32,2008,January,Winter Storm
200801,27,800,200801,28,1600,12251,67371,NEVADA,32,2008,January,Winter Storm
200801,27,1830,200801,28,900,12251,67372,NEVADA,32,2008,January,Winter Storm
200801,28,200,200801,28,700,12251,67373,NEVADA,32,2008,January,Winter Storm
200801,27,1800,200801,28,1000,12251,67374,NEVADA,32,2008,January,Winter Storm
200801,28,300,200801,28,800,12251,67375,NEVADA,32,2008,January,Winter Storm
200801,28,130,200801,28,330,12251,67376,NEVADA,32,2008,January,Winter Storm
200801,28,700,200801,28,930,12251,67377,NEVADA,32,2008,January,Winter Storm
200801,28,700,200801,28,900,12251,67378,NEVADA,32,2008,January,Winter Storm
200801,5,1800,200801,7,1200,12336,67814,COLORADO,8,2008,January,Winter Storm
200801,5,600,200801,7,1500,12336,67815,COLORADO,8,2008,January,Winter Storm
200801,5,100,200801,7,1300,12336,67816,COLORADO,8,2008,January,Winter Storm
200801,5,0,200801,7,1300,12336,67817,COLORADO,8,2008,January,Winter Storm
200801,5,1000,200801,7,1200,12336,67818,COLORADO,8,2008,January,Winter Storm
200801,5,200,200801,7,2000,12336,67819,COLORADO,8,2008,January,Winter Storm
200801,5,100,200801,7,1400,12336,67820,COLORADO,8,2008,January,Winter Storm
200801,5,200,200801,7,1300,12336,67821,COLORADO,8,2008,January,Winter Storm
200801,4,1800,200801,7,2000,12336,67822,COLORADO,8,2008,January,Winter Storm
200801,4,1100,200801,7,2200,12336,67824,COLORADO,8,2008,January,Winter Storm
200801,5,1500,200801,7,900,12336,67826,COLORADO,8,2008,January,Winter Storm
200801,4,2200,200801,7,2100,12341,67842,UTAH,49,2008,January,Winter Storm
200801,5,500,200801,7,1500,12341,67843,UTAH,49,2008,January,Winter Storm
200801,5,0,200801,7,1800,12341,67844,UTAH,49,2008,January,Winter Storm
200801,5,200,200801,6,1600,12341,67845,UTAH,49,2008,January,Winter Storm
200801,31,900,200801,31,2300,12361,67880,NEVADA,32,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12361,67881,NEVADA,32,2008,January,Winter Storm
200801,31,1000,200801,31,2359,12361,67894,NEVADA,32,2008,January,Winter Storm
200801,6,1200,200801,7,1600,12426,68006,ARIZONA,4,2008,January,Winter Storm
200801,7,0,200801,7,1500,12426,68007,ARIZONA,4,2008,January,Winter Storm
200801,19,1640,200801,20,500,12513,68591,MONTANA,30,2008,January,Winter Storm
200801,19,2342,200801,20,500,12513,68592,MONTANA,30,2008,January,Winter Storm
200801,19,1100,200801,20,500,12513,68593,MONTANA,30,2008,January,Winter Storm
200801,19,1400,200801,20,500,12513,68594,MONTANA,30,2008,January,Winter Storm
200801,20,0,200801,20,500,12513,68595,MONTANA,30,2008,January,Winter Storm
200801,26,1200,200801,27,2000,12514,68605,MONTANA,30,2008,January,Winter Storm
200801,27,1300,200801,28,500,12515,68614,IDAHO,16,2008,January,Winter Storm
200801,27,1700,200801,28,400,12517,68620,MONTANA,30,2008,January,Winter Storm
200801,27,2200,200801,28,400,12517,68621,MONTANA,30,2008,January,Winter Storm
200801,30,1400,200801,31,2300,12521,68629,MONTANA,30,2008,January,Winter Storm
200801,31,1500,200801,31,2300,12521,68630,MONTANA,30,2008,January,Winter Storm
200801,30,2200,200801,31,2300,12521,68631,MONTANA,30,2008,January,Winter Storm
200801,30,2200,200801,31,2300,12522,68632,IDAHO,16,2008,January,Winter Storm
200801,31,1200,200801,31,2300,12522,68633,IDAHO,16,2008,January,Winter Storm
200801,30,1300,200801,31,2300,12522,68634,IDAHO,16,2008,January,Winter Storm
200801,30,1400,200801,31,630,12522,68635,IDAHO,16,2008,January,Winter Storm
200801,27,1100,200801,29,100,12607,69059,COLORADO,8,2008,January,Winter Storm
200801,27,900,200801,29,0,12607,69061,COLORADO,8,2008,January,Winter Storm
200801,27,900,200801,28,2100,12607,69062,COLORADO,8,2008,January,Winter Storm
200801,27,1000,200801,28,2100,12607,69063,COLORADO,8,2008,January,Winter Storm
200801,27,1100,200801,28,2200,12607,69064,COLORADO,8,2008,January,Winter Storm
200801,27,800,200801,29,100,12607,69371,COLORADO,8,2008,January,Winter Storm
200801,27,1800,200801,28,1500,12658,69513,MONTANA,30,2008,January,Winter Storm
200801,27,1300,200801,28,300,12658,69515,MONTANA,30,2008,January,Winter Storm
200801,28,900,200801,28,1100,12658,69516,MONTANA,30,2008,January,Winter Storm
200801,28,1100,200801,28,1800,12658,69524,MONTANA,30,2008,January,Winter Storm
200801,28,819,200801,28,1034,12658,69526,MONTANA,30,2008,January,Winter Storm
200801,28,1110,200801,28,1523,12658,69528,MONTANA,30,2008,January,Winter Storm
200801,28,1000,200801,28,1500,12658,69533,MONTANA,30,2008,January,Winter Storm
200801,28,100,200801,28,1700,12658,69537,MONTANA,30,2008,January,Winter Storm
200801,28,900,200801,28,1500,12658,69540,MONTANA,30,2008,January,Winter Storm
200801,28,500,200801,28,1400,12658,69544,MONTANA,30,2008,January,Winter Storm
200801,28,600,200801,29,400,12658,69546,MONTANA,30,2008,January,Winter Storm
200801,28,0,200801,29,600,12658,69549,MONTANA,30,2008,January,Winter Storm
200801,28,800,200801,28,1700,12658,69553,MONTANA,30,2008,January,Winter Storm
