BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,county,lat,lon
200803,2,1646,200803,2,1649,13224,74012,OKLAHOMA,40,2008,March,Tornado,"EAGLE CITY",35.9879,-98.59
200803,4,1623,200803,4,1627,13336,74130,SOUTH CAROLINA,45,2008,March,Tornado,"PROSPERITY",34.1898,-81.5176
200803,4,1642,200803,4,1645,13336,74131,SOUTH CAROLINA,45,2008,March,Tornado,"CAUTHENS XRDS",34.6,-80.83
200803,4,1919,200803,4,1931,13336,74133,SOUTH CAROLINA,45,2008,March,Tornado,"NEW ELLENTON",33.42,-81.7
200803,4,1655,200803,4,1657,13400,74420,VIRGINIA,51,2008,March,Tornado,"BIG STONE GAP",36.86,-82.78
200803,7,1010,200803,7,1020,13415,74557,FLORIDA,12,2008,March,Tornado,"TAYLOR",30.4216,-82.2323
200803,7,1020,200803,7,1025,13417,74564,GEORGIA,13,2008,March,Tornado,"CLARKING",30.46,-82.2
200803,7,1030,200803,7,1030,13415,74568,FLORIDA,12,2008,March,Tornado,"KENT",30.59,-82.01
200803,7,945,200803,7,950,13415,74589,FLORIDA,12,2008,March,Tornado,"LAKE CITY",30.1937,-82.6458
200803,7,930,200803,7,930,13415,74594,FLORIDA,12,2008,March,Tornado,"WELLBORN",30.1787,-82.8258
200803,7,1130,200803,7,1135,13417,74608,GEORGIA,13,2008,March,Tornado,"ST MARYS ARPT",30.8099,-81.4954
200803,7,1027,200803,7,1027,13417,74657,GEORGIA,13,2008,March,Tornado,"LULATON",31.23,-81.94
200803,7,1020,200803,7,1025,13417,74686,GEORGIA,13,2008,March,Tornado,"MT PLEASANT",31.4069,-81.6919
200803,15,1528,200803,15,1530,13584,75951,GEORGIA,13,2008,March,Tornado,"GILL",33.96,-82.593
200803,15,1648,200803,15,1650,13584,75953,GEORGIA,13,2008,March,Tornado,"THMSON MCDUFFEE ARPT",33.6,-82.49
200803,15,1653,200803,15,1703,13584,75954,GEORGIA,13,2008,March,Tornado,"WINFIELD",33.605,-82.41
200803,15,1727,200803,15,1745,13584,75955,GEORGIA,13,2008,March,Tornado,"KEYSVILLE",33.208,-82.24
200803,15,1805,200803,15,1815,13584,75956,GEORGIA,13,2008,March,Tornado,"SHELL BLUFF",33.1,-81.9
200803,15,1525,200803,15,1545,13585,75964,SOUTH CAROLINA,45,2008,March,Tornado,"TRINITY",34.23,-81.76
200803,15,1510,200803,15,1515,13585,75966,SOUTH CAROLINA,45,2008,March,Tornado,"CAMP WELFARE",34.45,-80.97
200803,15,1534,200803,15,1547,13585,75975,SOUTH CAROLINA,45,2008,March,Tornado,"MT CARMEL",33.97,-82.56
200803,15,1530,200803,15,1550,13585,75979,SOUTH CAROLINA,45,2008,March,Tornado,"LUGOFF",34.27,-80.72
200803,15,1545,200803,15,1547,13585,75981,SOUTH CAROLINA,45,2008,March,Tornado,"SPRING HILL",34.206,-81.345
200803,15,1547,200803,15,1600,13585,75982,SOUTH CAROLINA,45,2008,March,Tornado,"ANGELUS",34.545,-80.3
200803,15,1633,200803,15,1633,13585,75984,SOUTH CAROLINA,45,2008,March,Tornado,"LUGOFF",34.22,-80.67
200803,15,1622,200803,15,1631,13585,75986,SOUTH CAROLINA,45,2008,March,Tornado,"ELGIN",34.18,-80.83
200803,15,1620,200803,15,1630,13585,75988,SOUTH CAROLINA,45,2008,March,Tornado,"WARD",33.85,-81.786
200803,15,1602,200803,15,1604,13585,75989,SOUTH CAROLINA,45,2008,March,Tornado,"MC CORMICK",33.95,-82.19
200803,15,1604,200803,15,1620,13585,75990,SOUTH CAROLINA,45,2008,March,Tornado,"CLEDRA",33.935,-82.135
200803,15,1641,200803,15,1654,13585,75998,SOUTH CAROLINA,45,2008,March,Tornado,"FAIRVIEW XRDS",33.8,-81.385
200803,15,1637,200803,15,1638,13585,76005,SOUTH CAROLINA,45,2008,March,Tornado,"MONETTA",33.8183,-81.581
200803,15,1643,200803,15,1650,13585,76008,SOUTH CAROLINA,45,2008,March,Tornado,"SHARP",34.17,-80.93
200803,15,1711,200803,15,1713,13585,76012,SOUTH CAROLINA,45,2008,March,Tornado,"MORGANA",33.57,-82.04
200803,15,1710,200803,15,1738,13585,76023,SOUTH CAROLINA,45,2008,March,Tornado,"HAMMOND XRDS",33.705,-81.017
200803,15,1718,200803,15,1747,13585,76028,SOUTH CAROLINA,45,2008,March,Tornado,"HORSE CREEK",33.49,-81.9
200803,15,1758,200803,15,1811,13585,76032,SOUTH CAROLINA,45,2008,March,Tornado,"FORESTON",33.53,-80.1
